step,sampling/sampling_logp_difference/mean,sampling/sampling_logp_difference/max,sampling/importance_sampling_ratio/min,sampling/importance_sampling_ratio/mean,sampling/importance_sampling_ratio/max,completions/mean_length,completions/max_length,entropy,kl,reward,loss,diag/accuracy,diag/zero_var_group_ratio,frac_reward_zero_std
51,0.01673,0.8393,0.2817,0.9098,1.809,94.56,318,0.5865,0.00179,0.8563,0.2662,0.6562,0.25,0.25
52,0.0236,8.484,1.405e-09,0.8382,1.52,108.1,220,0.5218,0.001926,0.6375,0.02864,0.4375,0.5,0.5
53,0.0222,0.9114,0.06994,0.9588,1.977,115.6,180,0.678,0.002126,0.575,-0.06966,0.375,0,0
54,0.0148,0.6343,0.4762,0.9722,1.998,96.22,189,0.4856,0.001903,0.9125,0.0678,0.7188,0.25,0.25
55,0.01337,0.4832,0.6305,1.094,2.144,78.28,151,0.4037,0.001252,0.975,0.1892,0.7812,0.25,0.25
56,0.01772,0.7507,0.4661,1.034,2.018,114.6,253,0.5471,0.00241,0.4813,-0.0006484,0.2812,0.25,0.25
57,0.01357,4.863,0.002443,1.087,2.481,129.8,266,0.356,0.001637,0.4813,0.09643,0.2812,0.25,0.25
58,0.01534,2.726,0,0.9232,2.483,153.3,227,0.4156,0.002101,0.6625,-0.0833,0.4688,0,0
59,0.01518,1.303,0,0.949,2.055,107.7,313,0.4499,0.001975,0.6313,-0.06621,0.4375,0,0
60,0.02182,1.352,0,0.9147,2.09,106.4,638,0.613,0.0032,0.7,0.2321,0.5,0.25,0.25
61,0.01126,1.55,0.1947,0.9954,1.912,104.5,197,0.2851,0.002182,0.8875,-0.1236,0.6875,0,0
62,0.01927,1.61,0,0.9824,1.944,114.7,277,0.5318,0.003476,0.4813,0.07798,0.2812,0.25,0.25
63,0.01789,0.4876,0.2883,0.9431,2.267,143.9,382,0.5471,0.002943,0.575,-0.01764,0.375,0.25,0.25
64,0.01891,6.54,3.611e-06,0.9133,2.052,104.7,261,0.494,0.003109,0.5063,-0.06353,0.3125,0.25,0.25
65,0.02289,4.366,0.005122,1.055,2.873,119.3,240,0.5702,0.003323,0.6938,-0.04374,0.5,0.25,0
66,0.01708,5.206,0.0003266,0.9631,1.928,117.5,200,0.372,0.003353,0.5125,0.03769,0.3125,0,0
67,0.01825,0.9202,0,0.8898,2.029,158,700,0.534,0.00406,0.4438,0.02419,0.25,0.25,0.25
68,0.01492,2.845,0.04814,0.9213,1.646,101.5,176,0.3921,0.002952,0.9188,-0.01795,0.7188,0.25,0.25
69,0.01838,0.6736,0.1235,1.041,2.223,111.2,700,0.5686,0.002846,0.8563,-0.1106,0.6562,0,0
70,0.01331,0.5766,0.2948,1.087,1.946,122.6,249,0.3601,0.002699,0.5125,-0.07308,0.3125,0.25,0.25
71,0.01739,8.48,0.0001743,0.8775,1.709,128.1,291,0.3503,0.003571,0.95,-0.1007,0.75,0.5,0.5
72,0.02082,3.885,0,1.02,2.247,151.9,246,0.4642,0.004237,0.5438,0.1209,0.3438,0.5,0.5
73,0.01231,0.3704,0.6382,0.992,1.484,67.03,103,0.3532,0.002867,1.075,0.02095,0.875,0.5,0.5
74,0.02027,0.7676,0.3808,0.8841,2.265,92.84,192,0.5335,0.005312,0.6688,-0.05046,0.4688,0,0
75,0.02235,3.99,0,0.89,1.986,126.7,294,0.6256,0.004477,0.4188,-0.02596,0.2188,0.5,0.5
76,0.0171,0.6275,0.2043,0.9794,2.182,138.1,188,0.4521,0.00317,0.575,-0.1068,0.375,0.25,0.25
77,0.02006,13.34,3.103e-07,0.8772,1.63,111.9,167,0.4114,0.004273,0.7938,-0.06801,0.5938,0,0
78,0.02868,12.65,0,0.7891,2.053,111,272,0.4035,0.005204,0.5438,-0.1206,0.3438,0,0
79,0.0196,1.184,0.2653,0.9407,2.066,106,189,0.4974,0.004371,0.7625,-0.1603,0.5625,0,0
80,0.01818,1.693,0,0.888,1.544,78.44,183,0.407,0.007863,0.8188,-0.05124,0.625,0,0
81,0.01947,0.632,0,0.8547,1.659,90.03,145,0.4722,0.006021,0.95,-0.0247,0.75,0.25,0.25
82,0.01723,0.5501,0.2452,0.959,1.772,101.2,158,0.4159,0.005744,0.7313,-0.1083,0.5312,0.25,0.25
83,0.01607,0.6465,0.07404,1.011,1.973,96.91,142,0.3687,0.005592,0.825,-0.1553,0.625,0.25,0.25
84,0.0132,0.408,0.2877,1.047,1.809,89.03,212,0.3273,0.005264,0.9813,-0.1753,0.7812,0,0
85,0.01737,1.803,0,0.9137,2.62,97.69,178,0.418,0.006976,0.7313,0.1129,0.5312,0.25,0.25
86,0.02654,13.03,1.948e-07,0.8946,2.546,109.8,212,0.4819,0.006545,0.7625,-0.2524,0.5625,0.25,0.25
87,0.0177,0.6345,0,0.8736,2.072,90.34,192,0.3883,0.006971,0.7,-0.02036,0.5,0,0
88,0.02144,0.8461,0.171,0.8734,1.772,82.06,161,0.4253,0.009478,0.95,-0.05378,0.75,0.25,0.25
89,0.01602,0.7405,0,0.9128,1.592,95,182,0.3543,0.005993,0.85,-0.1744,0.6562,0,0
90,0.01678,1.269,0.1213,1.167,2.15,103.7,181,0.3905,0.00552,0.9188,0.06313,0.7188,0,0
91,0.02957,12.34,0,0.7077,2.099,111.1,260,0.3424,0.0085,0.725,0.04989,0.5312,0.25,0
92,0.01643,0.5374,0.3169,0.8948,1.812,89.31,139,0.291,0.009839,1.013,0.02397,0.8125,0.5,0.5
93,0.01889,1.964,0.1731,1.04,2.724,103.9,216,0.4024,0.006748,0.7,0.1219,0.5,0,0
94,0.01665,0.6191,0.3315,1.01,2.076,101.8,201,0.3826,0.008275,0.8875,-0.1172,0.6875,0,0
95,0.02238,0.8689,0,0.902,2.279,95,290,0.4666,0.01301,0.8875,0.05939,0.6875,0,0
96,0.02702,10.12,2.736e-09,0.9147,2.182,151.4,355,0.4471,0.008417,0.5438,-0.1013,0.3438,0.5,0.5
97,0.01943,0.6119,0.2142,0.9319,1.752,99.5,161,0.3642,0.008795,0.825,0.003618,0.625,0.5,0.5
98,0.01766,0.4834,0.3474,1.034,1.867,81.72,146,0.4049,0.009309,0.8563,-0.1384,0.6562,0,0
99,0.02422,1.39,0,0.8023,2.049,156,318,0.5353,0.007642,0.5125,-0.08776,0.3125,0.25,0.25
100,0.02823,9.024,6.159e-06,0.9359,2.854,123.9,246,0.5172,0.009514,0.6688,0.08182,0.4688,0,0
101,0.02213,1.485,0.06622,0.968,2.789,123.4,278,0.4245,0.01196,0.8188,-0.2926,0.625,0,0
102,0.02615,1.939,0,0.7743,2.365,123.8,237,0.5328,0.01122,0.5125,-0.01989,0.3125,0.25,0.25
103,0.0238,0.9234,0,0.8315,2.559,89.59,294,0.4549,0.01742,0.825,-0.123,0.625,0.25,0.25
104,0.03068,14.12,6.071e-12,0.8313,1.74,98.41,167,0.3964,0.01564,0.45,-0.09951,0.25,0.25,0.25
105,0.02226,0.8737,0.2627,0.8213,1.561,99.78,283,0.4459,0.01791,0.6688,-0.1014,0.4688,0,0
106,0.02036,0.8302,0,1.122,2.75,97.09,149,0.3688,0.01329,0.5438,-0.09418,0.3438,0.25,0.25
107,0.02295,0.9522,0,0.9279,2.167,117.4,212,0.4315,0.01516,0.6688,0.03381,0.4688,0.25,0.25
108,0.02166,1.072,0.2662,0.9478,1.864,82.31,383,0.3986,0.02633,1.013,0.1085,0.8125,0.5,0.5
109,0.02115,2.574,0,0.9522,2.831,125.7,217,0.4382,0.01139,0.7,-0.0638,0.5,0,0
110,0.02036,0.7219,0.2084,0.9916,2.725,94.28,192,0.3307,0.01498,0.9188,-0.08166,0.7188,0,0
111,0.02329,0.8678,0,0.9104,2.24,104.3,297,0.4575,0.01185,0.5125,-0.01479,0.3125,0.5,0.5
112,0.0268,0.901,0.1779,0.7756,2.047,110.2,231,0.5234,0.01634,0.7,-0.1595,0.5,0.25,0.25
113,0.0221,0.6363,0.317,1.017,2.058,103.2,207,0.4688,0.01432,0.45,0.06157,0.25,0.25,0.25
114,0.02578,0.7114,0.3631,1.057,2.211,95.19,191,0.5927,0.01616,0.95,-0.08862,0.75,0.25,0.25
115,0.02122,0.7366,0,0.8083,2.305,95.19,164,0.3277,0.01528,0.8563,-0.1533,0.6562,0.25,0.25
116,0.02109,1.781,0,0.9065,2.503,125,229,0.3477,0.01396,0.9188,0.05861,0.7188,0.25,0.25
117,0.01807,0.4716,0.2119,1.019,2.515,128,265,0.3514,0.008969,0.725,-0.07346,0.5312,0.5,0.5
118,0.02397,1.169,0,0.7835,2.236,103,234,0.4341,0.0196,0.8563,-0.1892,0.6562,0.25,0.25
119,0.03042,18.84,0,0.8769,2.589,159.3,368,0.4816,0.01203,0.5688,-0.03955,0.375,0.25,0.25
120,0.03091,5.197,0,1.068,2.461,100.3,266,0.4833,0.02248,0.5438,0.04157,0.3438,0,0
121,0.02157,0.6217,0.18,1.066,2.39,86.06,168,0.3027,0.01539,1.075,-0.1522,0.875,0.25,0.25
122,0.02396,0.8835,0.4361,1.09,2.203,84,146,0.3738,0.01626,0.9813,-0.1323,0.7812,0.25,0.25
123,0.02933,0.8366,0.1285,1.056,2.738,96.12,349,0.4803,0.02026,0.825,-0.09757,0.625,0.25,0.25
124,0.02431,1.078,0.06039,0.832,2.498,121,314,0.3306,0.01771,0.9813,-0.03583,0.7812,0.5,0.5
125,0.02694,2.612,0,1.065,2.575,78.78,166,0.4183,0.01747,0.7625,-0.163,0.5625,0.5,0.5
126,0.02621,0.9955,0,1.033,2.791,119.9,212,0.3811,0.02217,0.575,-0.06462,0.375,0,0
127,0.02462,0.6706,0.3286,1.089,2.703,88.72,168,0.4339,0.01878,0.9813,-0.07262,0.7812,0.5,0.5
128,0.02416,0.9266,0.1783,1.019,2.718,101.4,193,0.4042,0.01722,0.6375,0.1658,0.4375,0,0
129,0.02429,0.9652,0,0.9308,2.422,119.8,233,0.3709,0.01986,0.825,-0.1797,0.625,0.25,0.25
130,0.02892,11.43,8.946e-06,1.049,2.476,100.8,191,0.3743,0.02219,0.8563,-0.4084,0.6562,0,0
131,0.03128,3.036,0,0.6972,2.234,145.8,361,0.4665,0.02532,0.5125,-0.1361,0.3125,0.25,0.25
132,0.0244,0.7203,0,0.9036,2.166,97.22,182,0.3385,0.01857,0.8563,-0.03942,0.6562,0.5,0.5
133,0.03008,6.313,0,0.9088,2.649,125.4,191,0.425,0.02775,0.5125,-0.1944,0.3125,0.25,0.25
134,0.02443,0.9766,0.158,0.9381,2.688,91.94,139,0.3079,0.025,1.138,-0.02631,0.9375,0.5,0.5
135,0.02986,1.07,0,0.9553,2.806,78.41,158,0.3051,0.03652,0.8563,-0.1465,0.6562,0,0
136,0.02619,0.976,0.1249,0.8604,2.101,108.5,170,0.2615,0.02839,1.138,-0.04905,0.9375,0.75,0.75
137,0.02836,0.8736,0,0.9373,2.263,123.5,272,0.3969,0.02238,0.5438,-0.0247,0.3438,0.25,0.25
138,0.02949,3.709,0,0.8263,2.829,138.2,258,0.415,0.04206,0.6375,-0.107,0.4375,0.25,0.25
139,0.02969,1.237,0,0.9035,2.958,109.6,166,0.3262,0.03909,0.825,-0.04378,0.625,0,0
140,0.03133,12.26,0,0.9806,2.698,117.7,204,0.3258,0.0327,0.975,-0.2465,0.7812,0.25,0.25
141,0.03487,1.092,0,1.021,2.523,91.16,174,0.3852,0.04111,0.7313,-0.0555,0.5312,0.25,0.25
142,0.04425,9.071,0,0.664,2.268,98.62,156,0.2957,0.08055,0.7,-0.2097,0.5,0.25,0.25
143,0.02656,11,0,0.9075,2.787,119.5,205,0.2679,0.02045,0.95,-0.1476,0.75,0.25,0.25
144,0.03418,1.545,0.1359,0.8909,2.847,110.2,205,0.3254,0.04612,0.5438,-0.1219,0.3438,0,0
145,0.02735,1.104,0,0.8684,2.901,97.72,191,0.2773,0.02494,1.013,0.1081,0.8125,0.5,0.5
146,0.03192,1.083,0.05614,0.8057,2.986,116.5,265,0.3976,0.03468,0.7625,-0.02456,0.5625,0,0
147,0.03459,6.832,2.297e-06,0.9092,2.578,85.19,126,0.2731,0.04161,0.9188,-0.1246,0.7188,0.25,0.25
148,0.03738,3.788,0,0.7581,2.596,112.3,281,0.2863,0.0355,0.6688,-0.002262,0.4688,0.5,0.5
149,0.02267,1.402,0.1505,0.9163,2.574,85.59,233,0.2059,0.03993,1.138,-0.104,0.9375,0.75,0.75
150,0.05029,12.23,0,0.4601,1.892,157.9,328,0.4633,0.03514,0.5438,-0.07962,0.3438,0.5,0.5
151,0.03074,2.234,0,0.7796,2.215,93.28,151,0.2781,0.05346,1.044,-0.04607,0.8438,0.5,0.5
152,0.03005,0.9381,0.1743,0.9764,2.408,82.84,138,0.3027,0.03176,1.013,-0.0617,0.8125,0.25,0.25
153,0.03041,1.149,0,0.8921,2.002,109.3,276,0.2786,0.03972,0.9188,-0.005792,0.7188,0.25,0.25
154,0.02484,1.246,0.05298,0.8115,1.964,91.66,211,0.2267,0.03982,1.106,-0.1611,0.9062,0.5,0.5
155,0.03952,13.94,0,0.9738,2.784,94.22,226,0.2899,0.03899,0.95,0.02953,0.75,0.5,0.5
156,0.02837,1.895,0,0.7931,2.829,97.94,235,0.2322,0.05581,1.013,0.03597,0.8125,0.25,0.25
157,0.02456,1.273,0.1195,0.7427,2.719,90.44,186,0.2318,0.03542,1.044,-0.09085,0.8438,0.25,0.25
158,0.03001,1.193,0,0.9603,2.754,106.7,195,0.2898,0.02907,0.5125,-0.04348,0.3125,0,0
159,0.03878,5.947,0,0.6785,2.247,117,205,0.2604,0.06432,0.9813,-0.008635,0.7812,0.25,0.25
160,0.02386,1.563,0,0.835,1.957,141,235,0.2326,0.04767,0.8563,-0.06914,0.6562,0.75,0.75
161,0.03373,1.207,0,0.8151,2.328,115.8,193,0.36,0.04097,0.6375,0.1373,0.4375,0.5,0.5
162,0.02689,1.499,0,0.9814,2.745,99.44,185,0.2299,0.04517,1.138,-0.01428,0.9375,0.75,0.75
163,0.03475,4.378,0,0.7305,2.351,111.9,265,0.2865,0.04945,0.7625,-0.1062,0.5625,0.5,0.5
164,0.03002,1.497,0.1684,0.8354,2.612,80.97,137,0.2092,0.05713,1.138,-0.08398,0.9375,0.75,0.75
165,0.04431,11.4,2.809e-07,0.5899,2.16,115.2,231,0.3139,0.09395,0.7938,-0.03502,0.5938,0,0
166,0.03135,1.622,0,0.8462,2.81,106.8,161,0.264,0.0589,0.95,0.06636,0.75,0.25,0.25
167,0.0397,8.293,3.902e-07,0.6416,2.104,113.6,229,0.3067,0.05683,0.825,-0.1012,0.625,0.5,0.5
168,0.0307,6.493,0,0.725,2.273,136.6,397,0.2974,0.04339,0.7,0.08917,0.5,0,0
169,0.0354,1.887,0,0.8502,2.099,100.1,171,0.3098,0.05351,0.7625,-0.02566,0.5625,0.75,0.75
170,0.03889,1.61,0,0.8527,2.912,91.34,177,0.3858,0.08041,0.95,-0.1818,0.75,0.25,0.25
171,0.04119,7.318,0,0.7126,2.869,116.8,202,0.3372,0.06187,0.6688,-0.1895,0.4688,0.25,0.25
172,0.03764,9.341,0,0.6603,2.845,113,217,0.3211,0.07024,0.6688,0.00278,0.4688,0.25,0.25
173,0.0329,1.744,0,0.8186,2.934,95.59,188,0.2517,0.05883,0.9188,-0.0756,0.7188,0,0
174,0.02647,1.148,0,1.164,2.685,121.1,700,0.3016,0.02982,0.975,-0.0201,0.7812,0.5,0.5
175,0.04079,1.394,0,0.6599,2.55,91.44,241,0.4094,0.08922,0.9188,-0.1194,0.7188,0,0
176,0.04992,14.47,5.432e-16,0.7472,1.876,95.19,202,0.2787,0.04472,0.7313,0.1241,0.5312,0.5,0.5
177,0.03922,1.839,0,0.5886,2.18,83.16,186,0.2659,0.189,1.138,-0.04084,0.9375,0.5,0.5
178,0.03109,1.066,0,0.7612,1.911,129.7,287,0.3709,0.03734,0.6375,0.002629,0.4375,0.25,0.25
179,0.03192,4.048,0.05299,0.7484,2.226,118.7,227,0.2515,0.05352,1.013,-0.08559,0.8125,0.25,0.25
180,0.03203,1.48,0.06269,0.8154,2.782,74.38,120,0.2453,0.06666,1.075,-0.07591,0.875,0.25,0.25
181,0.03442,4.778,0,0.6332,1.613,127.4,264,0.3303,0.0406,0.3563,-0.1051,0.1562,0.25,0.25
182,0.03452,1.049,0,0.6948,2.674,97.22,226,0.4314,0.04016,0.7313,0.04176,0.5312,0.75,0.75
183,0.03216,1.68,0,0.9596,2.577,79.78,153,0.2711,0.06293,1.013,0.2855,0.8125,0.25,0.25
184,0.02594,0.9488,0,1.132,2.728,148,324,0.3313,0.02732,0.7313,0.1727,0.5312,0.25,0.25
185,0.03055,1.054,0.1097,0.8547,2.393,131.5,209,0.3792,0.03537,0.7,-0.1345,0.5,0.5,0.5
186,0.03224,14.27,1.215e-06,0.8525,2.513,103.2,183,0.2533,0.05151,0.9813,0.02314,0.7812,0.25,0.25
187,0.03014,1.171,0,0.7405,2.227,84.94,152,0.2971,0.04924,1.075,-0.1268,0.875,0.25,0.25
188,0.03042,1.059,0,0.7304,2.539,87.44,177,0.2984,0.03768,1.044,0.0219,0.8438,0.5,0.5
189,0.0334,9.718,0,0.7478,1.707,118.3,169,0.2984,0.04272,0.6375,-0.1504,0.4375,0.25,0.25
190,0.03237,0.9761,0.01444,0.7957,2.935,111.3,259,0.4126,0.03812,0.8563,-0.04319,0.6562,0.5,0.5
191,0.02473,1.009,0,0.7852,2.486,111.7,167,0.2311,0.02755,0.95,-0.155,0.75,0.25,0.25
192,0.0291,1.63,0,0.7587,2.785,127.5,234,0.3609,0.03127,0.8563,-0.01649,0.6562,0,0
193,0.03381,0.9442,0.06677,0.6834,2.743,106.5,163,0.3763,0.04047,0.8563,-0.02619,0.6562,0.5,0.5
194,0.02271,1.865,0,1.014,2.605,102.9,217,0.2273,0.08025,1.106,-0.05328,0.9062,0.5,0.5
195,0.02992,12.5,5.45e-08,0.7595,2.432,112.9,225,0.2236,0.04901,0.725,-0.1677,0.5312,0,0
196,0.03408,15.35,0,0.7385,2.566,105.3,174,0.2707,0.05183,1.044,0.06589,0.8438,0.25,0.25
197,0.02778,0.9943,0.07142,0.6647,1.626,87.62,179,0.2637,0.04031,1.044,-0.1128,0.8438,0.25,0.25
198,0.04575,10.31,0,0.6803,2.258,115.7,252,0.3306,0.03807,0.6063,0.02891,0.4062,0.5,0.5
199,0.02745,1.745,0,0.8166,2.672,100.6,200,0.2696,0.06207,1.013,0.02482,0.8125,0.5,0.5
200,0.0279,1.462,0,0.7071,1.953,122.4,330,0.281,0.03209,0.7,0.0996,0.5,0,0
201,0.03362,0.8724,0.1226,0.8631,2.016,77.12,132,0.3514,0.0381,0.8875,-0.2223,0.6875,0.25,0.25
202,0.03373,8.663,0,0.6371,1.984,117.3,205,0.2716,0.0489,0.8875,-0.2308,0.6875,0.25,0.25
203,0.03261,1.251,0,0.8613,2.238,121.4,226,0.41,0.03648,0.7625,-0.02215,0.5625,0.25,0.25
204,0.02924,1.748,0,0.8093,2.332,116.2,245,0.4111,0.04803,0.8563,-0.1126,0.6562,0.5,0.5
205,0.02813,1.093,0,0.8551,2.904,109.5,207,0.3061,0.03776,0.7938,-0.1073,0.5938,0.25,0.25
206,0.02784,0.8105,0,0.9137,2.512,103.3,194,0.329,0.031,0.8563,-0.08344,0.6562,0.25,0.25
207,0.02605,0.8324,0,0.9746,2.573,83.12,217,0.2488,0.02781,0.95,-0.08202,0.75,0.5,0.5
208,0.03343,1.617,0,0.7701,2.8,90.41,124,0.2548,0.0503,1.106,0.01338,0.9062,0.75,0.75
209,0.03617,1.241,0.06041,0.8199,2.764,85.38,157,0.4084,0.05949,0.8563,-0.1115,0.6562,0,0
210,0.02864,7.305,0.001809,0.7571,2.133,129.5,257,0.2266,0.05372,0.8563,-0.07237,0.6562,0.25,0.25
211,0.03296,1.647,0.1088,0.8987,2.512,112.3,189,0.2854,0.0689,0.825,-0.08503,0.625,0.25,0.25
212,0.03496,10.73,0,0.8163,2.704,99.97,175,0.2929,0.05782,1.013,-0.02462,0.8125,0.25,0.25
213,0.02617,1.024,0.0269,1.047,2.425,95.06,208,0.2355,0.03571,1.006,0.09529,0.8125,0.5,0.5
214,0.02967,3.825,0,0.6637,2.048,143.7,353,0.3381,0.04283,0.3875,0.07291,0.1875,0.5,0.5
215,0.03074,1.355,0,0.8444,2.428,118.1,199,0.3008,0.05232,0.9813,-0.1874,0.7812,0,0
216,0.02598,1.065,0.02588,0.6855,2.753,114.9,255,0.2153,0.04565,0.8875,0.04142,0.6875,0,0
217,0.04749,12.05,0,0.5774,2.468,101.3,186,0.3094,0.09343,0.6063,-0.02994,0.4062,0,0
218,0.02694,1.838,0,0.9469,2.869,98.06,200,0.1909,0.03732,1.138,0.0705,0.9375,0.75,0.75
219,0.03727,2.928,0,0.6282,2.161,118.8,221,0.2929,0.08411,0.7625,-0.09552,0.5625,0.25,0.25
220,0.03602,5.494,0,0.6586,2.865,119.6,230,0.3389,0.05297,0.725,-0.3361,0.5312,0.25,0.25
221,0.03544,1.446,0.04657,0.8511,2.954,97.41,195,0.3206,0.05943,0.6688,-0.108,0.4688,0,0
222,0.03837,9.01,9.269e-07,0.9636,2.95,85.97,154,0.2965,0.07725,0.9813,-0.001307,0.7812,0,0
223,0.02873,1.177,0,0.886,2.965,95.41,194,0.266,0.05648,0.7938,-0.2485,0.5938,0.25,0.25
