step,sampling/sampling_logp_difference/mean,sampling/sampling_logp_difference/max,sampling/importance_sampling_ratio/min,sampling/importance_sampling_ratio/mean,sampling/importance_sampling_ratio/max,completions/mean_length,completions/max_length,entropy,kl,reward,loss,diag/accuracy,diag/zero_var_group_ratio,frac_reward_zero_std
107,0.02331,1.681,0.02161,1.081,2.351,219.7,700,0.9842,0.02338,0.6321,0.5246,0.4375,0.5,0
108,0.02416,2.511,0,0.7912,2.401,301.2,700,0.9266,0.01809,0.9324,0.2865,0.75,0.25,0
109,0.02388,1.335,0,0.6601,2.969,244.6,700,0.8928,0.01242,0.6318,0.0309,0.4375,0,0
110,0.0219,1.369,0,0.7978,2.618,201.6,700,0.6054,0.03181,0.9717,-0.02818,0.7812,0,0
111,0.02204,1.101,0,0.7852,2.667,214.4,700,0.7214,0.0172,0.5922,-0.1487,0.4062,0.25,0
112,0.02499,0.8294,0,0.7898,2.19,244.3,700,0.9301,0.01967,0.7019,-0.2357,0.5312,0.25,0
113,0.02213,1.359,0.1818,0.7443,2.075,205.2,700,0.6316,0.0328,0.6687,0.03437,0.4688,0.25,0.25
114,0.02231,1.073,0,0.8109,2.583,212.8,700,0.6767,0.0147,0.75,0.05866,0.5625,0,0
115,0.02239,0.9028,0,0.827,2.768,182.2,700,0.5873,0.01566,0.9125,-0.06918,0.7188,0,0
116,0.02192,2.08,0.1132,1.179,2.966,182.3,700,0.6616,0.02826,0.8221,0.01092,0.625,0,0
117,0.01893,0.8446,0.2413,1.005,2.8,177.8,700,0.5138,0.01788,0.6313,-0.3039,0.4375,0.25,0.25
118,0.02151,1.102,0,0.8938,2.137,181.3,700,0.7111,0.01436,0.7545,0.1015,0.5625,0.25,0.25
119,0.01896,0.8478,0,0.9663,2.861,232.9,700,0.5996,0.01302,0.4467,-0.08062,0.25,0.25,0.25
120,0.0224,0.648,0,0.8319,1.729,166.4,700,0.7176,0.01474,0.5688,-0.01547,0.375,0,0
121,0.02109,1.595,0,0.9026,2.564,195.2,700,0.5632,0.01874,0.8749,-0.1685,0.6875,0,0
122,0.02481,2.168,0,0.7306,2.096,140.6,700,0.5635,0.04182,0.8438,-0.1966,0.6562,0.25,0
123,0.02128,1.151,0,1.016,2.79,235.8,700,0.6652,0.02008,0.7486,-0.3417,0.5625,0.75,0.5
124,0.02057,1.1,0,0.9446,2.602,176.7,700,0.5276,0.01779,0.9103,-0.1282,0.7188,0.25,0.25
125,0.02356,1.248,0.1624,0.8928,2.16,133.4,700,0.7471,0.03413,0.6559,0.31,0.4688,0.25,0
126,0.02244,1.276,0,0.8068,2.075,185.3,700,0.669,0.03343,0.652,0.001654,0.4688,0,0
127,0.02357,2.737,0.01144,0.8414,2.89,199.6,700,0.713,0.05213,0.8438,0.04439,0.6562,0,0
128,0.0222,1.363,0,0.7768,2.01,183.6,492,0.5244,0.02549,0.6375,0.07438,0.4375,0,0
129,0.02052,1.112,0,0.725,2.701,164.2,700,0.362,0.01932,0.9813,-0.03975,0.7812,0.5,0.5
130,0.02382,1.443,0.02403,0.8632,2.245,141.1,304,0.5227,0.02545,0.8563,0.1031,0.6562,0.25,0.25
131,0.02044,1.453,0.1133,0.8688,2.765,233.6,700,0.5468,0.01855,0.575,-0.1152,0.375,0.25,0.25
132,0.02547,1.312,0,0.733,2.349,218.7,700,0.7979,0.01767,0.8397,-0.07076,0.6562,0.5,0.25
133,0.02246,1.183,0,0.8412,2.944,169.4,700,0.568,0.01951,0.5031,-0.3114,0.3125,0,0
134,0.02021,2.431,0,0.759,2.019,156,700,0.4039,0.05273,0.9495,-0.0558,0.75,0.25,0.25
135,0.02499,1.215,0,0.8638,2.469,166.4,700,0.6121,0.02184,1.042,-0.07379,0.8438,0.25,0.25
136,0.02332,1.925,0,0.6731,1.785,192.9,700,0.5691,0.05255,0.9388,-0.09821,0.75,0.5,0.5
137,0.02297,1.501,0,0.6387,1.31,187.9,689,0.4842,0.02807,0.6688,-0.03455,0.4688,0,0
138,0.02051,1.5,0,0.7388,2.425,199.2,519,0.57,0.01856,0.6688,0.07792,0.4688,0.5,0.5
139,0.02309,1.376,0,0.685,2.13,198.2,700,0.4763,0.0488,0.55,0.01673,0.375,0,0
140,0.01988,1.404,0,0.7277,1.652,176.1,700,0.4204,0.02132,0.9117,-0.05964,0.7188,0,0
141,0.02563,1.063,0.1228,0.9998,2.385,177.3,700,0.5761,0.02434,0.7534,-0.2325,0.5625,0,0
142,0.02376,1.619,0,0.7052,2.831,174.5,700,0.7668,0.0364,0.7766,-0.05025,0.5938,0.25,0
143,0.01744,1.373,0,0.9017,2.882,188.5,700,0.3139,0.01767,0.9799,0.02164,0.7812,0.25,0.25
144,0.02375,2.011,0,0.8519,2.389,254.2,700,0.5972,0.02218,0.6625,-0.1752,0.4688,0,0
145,0.01689,1.178,0,0.9984,2.978,145.2,226,0.2882,0.01994,1.138,0.0133,0.9375,0.5,0.5
146,0.02039,1.196,0.09274,1.043,2.825,185.6,700,0.3984,0.02804,0.9723,-0.1631,0.7812,0.25,0
147,0.02307,2.561,0,0.8007,2.58,165.1,700,0.4402,0.4357,1.006,0.1031,0.8125,0.25,0.25
148,0.02479,1.136,0,0.6192,2.438,209,700,0.5167,0.02101,0.6973,0.2979,0.5,1,0.75
149,0.02033,1.038,0,0.814,2.353,235.9,700,0.4993,0.02024,0.9395,0.2239,0.75,0,0
150,0.02309,2.638,0,0.6661,2.819,181.2,322,0.4545,0.05626,0.5625,-0.02522,0.375,0.25,0.25
151,0.02578,1.685,0,0.9487,2.408,139.7,700,0.5541,0.04618,0.9078,-0.1332,0.7188,0.75,0.5
152,0.02087,0.8327,0,0.9859,2.898,181.3,700,0.4456,0.01875,0.9799,-0.11,0.7812,0.25,0.25
153,0.023,2.545,0,0.7941,2.064,163.4,700,0.3888,0.05982,0.9813,-0.1595,0.7812,0,0
154,0.01744,1.066,0.1512,0.8849,2.567,133.6,286,0.2772,0.02028,1.106,-0.1,0.9062,0.5,0.5
155,0.01981,1.078,0,0.8965,2.611,142,700,0.368,0.02842,0.9188,-0.3696,0.7188,0.25,0.25
156,0.02001,0.9244,0,0.8557,2.012,150.5,282,0.3934,0.02564,0.95,-0.08375,0.75,0.5,0.5
157,0.01874,0.9419,0.03077,0.9397,2.799,177.7,700,0.3985,0.03257,0.9804,-0.2185,0.7812,0.5,0.5
158,0.02271,0.7722,0.2309,0.8114,1.805,144.3,329,0.4424,0.02589,0.4813,0.00714,0.2812,0,0
159,0.01934,1.537,0.08174,0.7731,1.937,186.3,700,0.4362,0.07253,0.7919,0.004377,0.5938,0.5,0.25
160,0.0191,1.486,0,0.7468,2.045,206,700,0.3774,0.02291,0.7813,-0.2066,0.5938,0,0
161,0.02328,0.9431,0,0.7137,1.703,234.1,700,0.5911,0.01969,0.7549,0.08272,0.5625,0.25,0.25
162,0.02371,1.109,0,0.6534,1.568,145.2,430,0.3803,0.04602,0.975,-0.01715,0.7812,0.25,0.25
163,0.0199,0.8968,0,0.8323,2.478,179.2,700,0.3921,0.02858,0.7313,-0.07565,0.5312,0.5,0.5
164,0.01953,2.33,0.01718,0.9549,2.538,158.9,700,0.3123,0.2729,1.069,-0.3047,0.875,0.25,0
165,0.02285,1.408,0.06466,1.006,2.591,225,700,0.5668,0.03498,0.6306,0.01981,0.4375,0,0
166,0.02267,0.6671,0,0.9827,2.869,185.6,700,0.6247,0.01722,0.7,0.2964,0.5,0,0
167,0.02055,1.362,0,0.7858,2.401,204.4,700,0.4876,0.02367,0.825,-0.0515,0.625,0.25,0.25
168,0.02004,1.765,0,0.767,1.888,266.7,700,0.6284,0.01415,0.5438,-0.08779,0.3438,0.5,0.5
169,0.02286,1.594,0,0.8007,2.087,203.3,700,0.4927,0.0388,0.7799,-0.061,0.5938,0.25,0
170,0.02277,3.728,0,0.7189,1.997,223.7,700,0.7405,0.1115,0.9421,-0.1003,0.75,0,0
171,0.02323,1.038,0,0.772,2.461,204.8,416,0.6317,0.02452,0.7938,0.1504,0.5938,0.25,0.25
172,0.02098,1.255,0.1199,1.194,2.999,209.1,700,0.5413,0.02357,0.5468,0.1193,0.375,0.25,0
173,0.01871,0.6431,0.2098,0.8828,1.928,151.2,243,0.4007,0.01899,1.075,0.005044,0.875,0.25,0.25
174,0.0212,0.6957,0,1.003,2.807,195.2,700,0.65,0.01539,1.01,-0.05871,0.8125,0.25,0.25
175,0.02457,0.8568,0,0.8418,2.928,185.3,700,0.639,0.0195,0.9748,-0.03107,0.7812,0,0
176,0.02065,1.904,0,0.7833,2.291,186.3,700,0.4571,0.03427,0.9173,0.6078,0.7188,0.5,0.25
177,0.02542,1.017,0.07684,0.8818,2.758,171.2,700,0.595,0.02181,0.9125,-0.3141,0.7188,0.25,0.25
178,0.02297,1.297,0.07373,0.7728,2.383,195.1,435,0.6175,0.02802,0.5688,-0.2075,0.375,0.25,0.25
179,0.02004,1.71,0,0.7449,2.667,196.5,586,0.5287,0.02145,0.95,-0.1232,0.75,0.25,0.25
180,0.02215,0.7519,0,0.7841,2.141,201.6,700,0.6003,0.02077,1.028,0.1846,0.8438,0.5,0
181,0.02421,0.9656,0,0.7843,2.163,221.7,662,0.6102,0.017,0.5125,-0.08005,0.3125,0.25,0.25
182,0.02967,1.333,0,0.7295,2.255,215,700,0.9798,0.01925,0.7489,0.02993,0.5625,0.25,0.25
183,0.02568,2.003,0.03296,0.7026,2.277,142.5,360,0.4741,0.02497,0.9813,-0.02722,0.7812,0.25,0.25
184,0.02281,1.721,0.07213,0.782,2.561,233.8,700,0.6077,0.02147,0.6555,0.2939,0.4688,0.5,0.25
185,0.02296,1.079,0.01053,0.8151,2.148,251.8,700,0.6438,0.01795,0.6938,0.07816,0.5,0.25,0.25
186,0.02321,1.69,0,0.673,2.808,203.4,700,0.4912,0.03131,0.9063,0.1323,0.7188,0.25,0.25
187,0.02286,2.436,0,0.9508,2.052,148.1,367,0.5404,0.227,0.8813,-0.1062,0.6875,0.25,0
188,0.02291,0.6519,0.1875,0.7718,2.555,165,423,0.5967,0.01878,1,0.1312,0.8125,0.5,0.25
189,0.02013,0.7203,0,1.042,2.777,206.8,370,0.4702,0.01632,0.6938,-0.08569,0.5,0.5,0.5
190,0.02247,0.9382,0.07794,0.9482,2.878,191.2,523,0.6987,0.01822,0.9438,0.07422,0.75,0.5,0.5
191,0.01975,0.8343,0,0.9215,2.8,189.1,375,0.4733,0.01841,0.8813,0.2625,0.6875,0.25,0.25
192,0.02118,0.8127,0.3139,0.8776,2.258,223.7,700,0.5241,0.01511,0.7875,-0.0477,0.5938,0,0
193,0.02267,2.895,0,0.9707,2.757,179.4,640,0.61,0.03531,0.7875,-0.07306,0.5938,0,0
194,0.02057,1.328,0,0.7474,1.753,149.7,251,0.4312,0.02205,1.006,-0.0633,0.8125,0,0
195,0.019,1.488,0,0.6569,1.501,190.1,304,0.4572,0.01891,0.7563,0.04024,0.5625,0.25,0.25
196,0.02229,1.023,0.1494,1.037,2.963,204,700,0.5532,0.02429,1.044,0.06107,0.8438,0.25,0.25
197,0.01857,1.295,0,0.7682,2.012,146.8,414,0.4134,0.02447,1.062,0.02492,0.875,0.5,0.25
198,0.02159,1.067,0.06113,1.07,2.851,192,421,0.5326,0.01806,0.6375,0.09329,0.4375,0.25,0.25
199,0.02076,0.7644,0,0.6641,1.941,188.2,700,0.5572,0.01674,0.9125,-0.04323,0.7188,0.5,0.5
200,0.02262,1.538,0,0.8206,2.628,240.2,700,0.6717,0.01889,0.666,-0.01031,0.4688,0.5,0.25
201,0.02352,0.8476,0,0.8359,2.315,212.4,700,0.6207,0.0163,0.7875,0.02823,0.5938,0.75,0.5
202,0.02003,1.124,0,0.8063,2.437,197.9,700,0.5155,0.01717,1.13,-0.05698,0.9375,0.5,0.25
203,0.02018,1.023,0,0.8195,2.42,226.6,586,0.537,0.0124,0.9188,0.008479,0.7188,0.25,0.25
204,0.02497,0.6471,0.1194,0.7611,2.266,236.1,700,0.8404,0.01607,0.6487,-0.008654,0.4688,0.25,0
205,0.01981,0.5571,0.09377,0.8354,1.947,204.6,700,0.5093,0.01261,0.7875,-0.03688,0.5938,0,0
206,0.02277,1.202,0,0.6887,2.064,247,700,0.739,0.01891,0.6593,-0.02714,0.4688,0,0
207,0.02035,1.227,0,0.8696,2.75,160.8,318,0.4299,0.01635,0.95,-0.3134,0.75,0.5,0.5
208,0.02211,2.052,0,0.9201,2.48,164.5,700,0.4839,0.03601,1.161,-0.08132,0.9688,0.75,0.5
209,0.02243,0.6765,0.1711,0.9483,2.356,188.1,700,0.652,0.01575,0.9368,-0.03526,0.75,0.25,0.25
210,0.01805,0.9535,0,0.7823,1.638,232.8,700,0.4873,0.01528,0.7933,0.004406,0.5938,0.5,0.5
211,0.02476,1.114,0,0.5663,1.62,221.2,700,0.7342,0.02608,0.7499,-0.0502,0.5625,0,0
212,0.02688,1.553,0,0.9237,2.968,228.1,700,1.111,0.02573,0.702,0.06602,0.5312,0,0
213,0.02048,0.9774,0,0.7424,2.668,184,488,0.5232,0.02044,0.8875,-0.1118,0.6875,0.25,0.25
214,0.02379,0.855,0,0.5947,2.517,269.6,700,0.8713,0.01567,0.3335,-0.1218,0.1562,0.25,0
215,0.02302,1.975,0,0.8918,2.599,232,700,0.7232,0.02681,0.8188,0.06931,0.625,0,0
216,0.0207,1.27,0.1814,0.9371,2.775,199.2,533,0.5752,0.01933,0.95,0.07681,0.75,0.5,0.5
217,0.02471,0.6879,0.04573,0.8916,2.209,233.8,700,0.762,0.01843,0.5609,0.07764,0.375,0.5,0.25
218,0.01929,0.9835,0,0.8261,1.93,178.5,700,0.4239,0.02351,1.106,0.1462,0.9062,0.5,0.25
219,0.01975,0.872,0,0.7621,2.869,218.7,619,0.4975,0.01206,0.6625,-0.103,0.4688,0.25,0.25
220,0.02712,2.159,0.07825,0.9918,2.624,183.9,347,0.7265,0.05988,0.6813,0.1008,0.5,0,0
221,0.02658,0.6565,0,1.007,2.672,182.2,423,0.656,0.02105,0.7313,-0.07335,0.5312,0,0
222,0.02404,0.8721,0,0.7647,2.225,172.6,700,0.5091,0.01807,0.975,0.001573,0.7812,0.25,0.25
223,0.02331,0.8789,0,0.8325,2.169,166.7,387,0.6064,0.01912,0.7875,-0.05628,0.5938,0,0
224,0.02553,2.059,0.09238,0.8253,2.857,209,700,1.005,0.02293,0.6145,0.07156,0.4375,0.25,0
225,0.025,2.088,0,0.9671,2.784,238.9,424,0.6642,0.01961,0.6562,-0.03647,0.4688,0.5,0.5
226,0.02336,0.8603,0,0.7819,2.853,200.7,489,0.5512,0.02503,0.9813,-0.03272,0.7812,0.25,0.25
227,0.02298,2.21,0.09535,1.097,2.854,210.7,700,0.5954,0.1919,0.9143,-0.179,0.7188,0.25,0
